,unit_name,report_date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
2771,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Conecuh County,-0.26,,-0.65,-0.1,-0.44,
18,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Coosa County,-0.28,,,,,
2772,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Coosa County,-0.31,,,,,
19,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Covington County,-0.23,,-0.37,-0.15,,
2773,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Covington County,-0.33,,-0.47,-0.17,,
20,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Crenshaw County,-0.35,,-0.57,-0.17,,
2774,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Crenshaw County,-0.28,,-0.58,-0.1,,
21,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Cullman County,-0.29,0.86,-0.33,,-0.33,
2775,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Cullman County,-0.34,0.65,-0.53,-0.1,-0.38,
22,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Dale County,-0.25,,-0.34,,-0.17,0.11
2776,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Dale County,-0.31,,-0.44,-0.22,-0.39,0.12
23,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Dallas County,-0.22,,-0.27,,,
2777,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Dallas County,-0.35,,-0.37,-0.16,,
24,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,DeKalb County,-0.23,,-0.38,,-0.33,0.11
2778,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,DeKalb County,-0.23,,-0.52,-0.21,-0.49,0.12
25,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Elmore County,-0.37,0.5,-0.4,-0.13,,
2779,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Elmore County,-0.4,0.3,-0.47,-0.11,,0.16
26,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Escambia County,-0.27,,-0.35,-0.2,,
2780,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Escambia County,-0.31,,-0.39,,,
27,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Etowah County,-0.33,0.19,-0.47,-0.13,-0.27,
2781,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Etowah County,-0.36,-0.23,-0.58,-0.22,-0.35,0.11
28,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Fayette County,-0.28,,-0.23,,,
2782,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Fayette County,-0.28,,-0.39,,,
29,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Franklin County,-0.14,,-0.27,,,
2783,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Franklin County,-0.21,,-0.45,-0.15,,
30,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Geneva County,-0.28,,-0.34,,,
2784,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Geneva County,-0.33,,-0.42,,,
