,unit_name,report_date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
583,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Massac County,-0.22,,-0.48,-0.18,,
3340,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Massac County,-0.31,,-0.46,-0.1,,
584,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,McDonough County,-0.28,,-0.4,-0.13,,
3341,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,McDonough County,-0.25,,-0.43,,,
585,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,McHenry County,-0.38,-0.26,-0.54,-0.23,-0.61,0.13
3342,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,McHenry County,-0.37,0.89,-0.47,-0.15,-0.46,0.11
586,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,McLean County,-0.41,,-0.53,-0.28,-0.37,0.12
3343,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,McLean County,-0.4,0.73,-0.5,-0.2,-0.38,0.11
587,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Menard County,-0.42,0.8,,,,
3344,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Menard County,-0.48,0.8,,,,
588,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Mercer County,-0.33,,-0.63,,,
3345,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Mercer County,-0.31,,-0.31,,,
589,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Monroe County,-0.33,,-0.37,-0.12,,0.16
3346,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Monroe County,-0.41,,-0.47,-0.31,,0.16
590,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Montgomery County,-0.28,,-0.37,-0.13,,
3347,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Montgomery County,-0.28,,-0.43,,,
591,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Morgan County,-0.34,,-0.39,,-0.14,
3348,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Morgan County,-0.34,,-0.39,,-0.35,
592,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Moultrie County,-0.26,0.8,,,,
3349,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Moultrie County,-0.26,0.8,,,,
593,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Ogle County,-0.27,,-0.46,,,0.17
3350,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Ogle County,-0.25,,-0.43,,,0.17
594,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Peoria County,-0.35,-0.16,-0.5,-0.19,-0.45,0.11
3351,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Peoria County,-0.35,0.57,-0.46,,-0.32,
595,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Perry County,-0.28,,-0.35,,,
3352,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Perry County,-0.34,,-0.45,,,
596,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Piatt County,-0.26,0.8,,,,
3353,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Piatt County,-0.32,0.8,,,,
597,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Pike County,-0.19,,-0.36,-0.11,,
3354,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Pike County,-0.19,,-0.23,,,
598,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Pulaski County,-0.33,,,,,
3355,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Pulaski County,-0.36,,,,,
599,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Putnam County,-0.38,,,,,
3356,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Putnam County,-0.38,,,,,
600,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Randolph County,-0.24,,-0.24,,,0.1
3357,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Randolph County,-0.27,,-0.4,,,0.1
601,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Richland County,-0.19,,-0.32,-0.11,,
3358,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Richland County,-0.23,,-0.4,,,
602,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Rock Island County,-0.36,-0.55,-0.5,,-0.57,0.1
3359,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Rock Island County,-0.34,-0.23,-0.43,0.1,-0.4,
603,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Saline County,-0.24,,-0.2,,,
3360,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Saline County,-0.31,,-0.22,,,
604,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Sangamon County,-0.36,0.31,-0.47,-0.18,-0.38,0.1
3361,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Sangamon County,-0.36,0.49,-0.46,-0.11,-0.38,
605,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Schuyler County,-0.29,0.8,,,,
3362,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Schuyler County,-0.23,0.8,,,,
606,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Shelby County,-0.31,,-0.2,,,
3363,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Shelby County,-0.2,,-0.26,,,
607,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,St. Clair County,-0.34,0.52,-0.45,-0.13,-0.26,0.1
3364,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,St. Clair County,-0.37,-0.15,-0.52,-0.13,-0.34,0.11
608,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Stark County,-0.36,,,,,
3365,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Stark County,-0.31,,,,,
609,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Stephenson County,-0.3,,-0.44,-0.27,,0.17
3366,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Stephenson County,-0.3,,-0.34,,,0.16
610,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Tazewell County,-0.33,-0.15,-0.41,,,0.11
3367,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Tazewell County,-0.33,,-0.39,,,
611,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Union County,-0.23,,,,,
3368,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Union County,-0.25,,-0.24,-0.1,,
612,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Vermilion County,-0.26,,-0.39,-0.15,-0.31,
3369,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Vermilion County,-0.26,,-0.36,,-0.29,0.1
613,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Wabash County,-0.32,,-0.33,-0.17,,
3370,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Wabash County,-0.44,,-0.5,-0.19,,
614,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Warren County,-0.2,,-0.48,,,
3371,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Warren County,-0.2,,-0.19,0.1,,
615,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Washington County,-0.4,,-0.58,,,
3372,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Washington County,-0.43,,-0.62,,,
616,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Wayne County,-0.24,,-0.3,,,
3373,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Wayne County,-0.27,,-0.38,,,
617,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,White County,-0.23,,-0.23,,,
3374,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,White County,-0.16,,-0.42,,,
618,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Whiteside County,-0.3,,-0.53,-0.24,,0.18
3375,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Whiteside County,-0.28,,-0.45,-0.12,,0.17
619,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Will County,-0.36,-0.36,-0.54,-0.27,-0.28,0.14
3376,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Will County,-0.38,0.51,-0.48,-0.15,-0.25,0.12
620,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Williamson County,-0.32,-0.45,-0.33,-0.15,-0.16,0.17
3377,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Williamson County,-0.38,-0.45,-0.46,-0.19,-0.26,0.16
621,Illinois,2020-03-29 00:00:00+00:00,-0.39,-0.29,-0.53,-0.24,-0.55,0.13,Winnebago County,-0.36,-0.4,-0.47,-0.3,-0.4,0.11
3378,Illinois,2020-04-05 00:00:00+00:00,-0.39,0.24,-0.5,-0.16,-0.52,0.12,Winnebago County,-0.33,0.6,-0.41,-0.19,-0.35,
622,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Adams County,-0.33,,-0.43,-0.25,,
3379,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Adams County,-0.33,,-0.37,-0.29,,
623,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Allen County,-0.39,0.13,-0.54,-0.36,-0.44,0.12
3380,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Allen County,-0.4,,-0.47,-0.23,-0.42,0.1
624,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Bartholomew County,-0.45,0.1,-0.49,-0.3,-0.28,0.26
3381,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Bartholomew County,-0.46,-0.12,-0.55,-0.28,-0.35,0.24
625,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Benton County,-0.42,,,,,
3382,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Benton County,-0.43,,,,,
626,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Blackford County,-0.24,,-0.51,-0.17,,
3383,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Blackford County,-0.24,,-0.53,,,
627,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Boone County,-0.39,,-0.51,-0.28,-0.19,0.26
3384,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Boone County,-0.39,,-0.5,-0.24,-0.25,0.24
628,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Brown County,-0.37,,-0.68,,,
3385,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Brown County,-0.42,,-0.7,-0.2,,
629,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Carroll County,-0.38,,-0.52,-0.14,,
3386,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Carroll County,-0.38,,,,,
630,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Cass County,-0.34,,-0.38,-0.17,,0.18
3387,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Cass County,-0.35,,-0.31,,,0.15
631,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Clark County,-0.36,0.64,-0.48,-0.1,-0.14,0.1
3388,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Clark County,-0.39,0.6,-0.48,,-0.18,0.1
632,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Clay County,-0.32,,-0.33,-0.35,-0.21,
3389,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Clay County,-0.32,,-0.3,-0.29,-0.25,
633,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Clinton County,-0.3,,-0.36,-0.3,,0.19
3390,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Clinton County,-0.25,,-0.33,,,0.17
634,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Crawford County,-0.36,,-0.58,-0.16,-0.38,
3391,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Crawford County,-0.44,,-0.47,-0.16,-0.35,
635,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Daviess County,-0.25,,-0.4,,,
3392,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Daviess County,-0.27,,-0.39,,,
636,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,DeKalb County,-0.34,,-0.5,-0.18,,0.22
3393,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,DeKalb County,-0.37,,-0.43,,,0.18
637,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Dearborn County,-0.42,,-0.35,-0.11,,0.22
3394,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Dearborn County,-0.45,,-0.46,-0.14,,0.21
638,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Decatur County,-0.43,,-0.45,-0.26,-0.35,0.11
3395,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Decatur County,-0.48,,-0.78,-0.46,-0.45,0.11
639,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Delaware County,-0.36,,-0.52,-0.28,,0.1
3396,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Delaware County,-0.38,,-0.51,-0.24,-0.18,0.1
640,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Dubois County,-0.29,,-0.4,-0.19,,0.21
3397,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Dubois County,-0.3,,-0.44,-0.14,,0.23
641,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Elkhart County,-0.35,0.18,-0.43,-0.35,-0.19,0.1
3398,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Elkhart County,-0.36,0.17,-0.32,-0.21,,
642,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Fayette County,-0.35,,-0.32,-0.21,,
3399,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Fayette County,-0.36,,-0.31,-0.16,,
643,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Floyd County,-0.38,,-0.39,-0.21,,0.21
3400,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Floyd County,-0.39,,-0.45,-0.23,,0.21
644,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Fountain County,-0.36,,-0.65,-0.1,,
3401,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Fountain County,-0.36,,-0.47,,,
645,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Franklin County,-0.36,,-0.38,-0.28,,
3402,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Franklin County,-0.34,,-0.38,-0.32,,
646,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Fulton County,-0.31,,-0.33,-0.19,-0.54,
3403,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Fulton County,-0.17,,-0.21,-0.1,-0.54,
647,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Gibson County,-0.29,,-0.35,-0.19,-0.29,0.11
3404,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Gibson County,-0.26,,-0.36,,-0.38,0.11
648,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Grant County,-0.22,,-0.46,-0.17,-0.13,0.17
3405,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Grant County,-0.28,,-0.39,,-0.16,0.13
649,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Greene County,-0.29,,-0.33,-0.23,,
3406,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Greene County,-0.31,,-0.4,-0.15,,
650,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Hamilton County,-0.47,0.38,-0.58,-0.31,,0.13
3407,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Hamilton County,-0.48,0.59,-0.58,-0.28,,0.13
651,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Hancock County,-0.38,,-0.46,,-0.12,0.24
3408,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Hancock County,-0.41,,-0.49,,-0.15,0.22
652,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Harrison County,-0.3,,-0.44,,,0.2
3409,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Harrison County,-0.3,,-0.41,,,0.2
653,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Hendricks County,-0.39,-0.13,-0.47,-0.26,-0.19,0.12
3410,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Hendricks County,-0.39,-0.13,-0.48,-0.26,-0.23,0.11
654,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Henry County,-0.31,,-0.32,-0.19,-0.28,0.21
3411,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Henry County,-0.28,,-0.33,,-0.33,0.17
655,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Howard County,-0.47,,-0.56,-0.36,,0.14
3412,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Howard County,-0.44,,-0.44,-0.22,,0.1
656,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Huntington County,-0.34,,-0.47,-0.29,-0.46,0.21
3413,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Huntington County,-0.34,,-0.4,-0.18,-0.46,0.18
657,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Jackson County,-0.41,,-0.24,-0.55,,0.22
3414,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Jackson County,-0.45,,-0.35,-0.54,-0.19,0.21
658,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Jasper County,-0.33,,-0.44,-0.24,-0.22,0.15
3415,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Jasper County,-0.31,,-0.29,,-0.25,0.14
659,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Jay County,-0.22,,-0.4,-0.35,,
3416,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Jay County,-0.25,,-0.43,-0.2,,
660,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Jefferson County,-0.23,,-0.37,,,0.14
3417,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Jefferson County,-0.31,,-0.42,,,0.14
661,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Jennings County,-0.37,,-0.26,-0.11,,0.12
3418,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Jennings County,-0.41,,-0.43,-0.14,,0.12
662,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Johnson County,-0.37,,-0.51,-0.22,-0.24,0.11
3419,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Johnson County,-0.38,-0.11,-0.54,-0.2,-0.32,0.11
663,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Knox County,-0.31,,-0.44,-0.15,,0.14
3420,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Knox County,-0.3,,-0.43,,,0.14
664,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Kosciusko County,-0.33,,-0.52,-0.24,,0.23
3421,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Kosciusko County,-0.34,,-0.41,-0.1,,0.21
665,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,LaGrange County,-0.36,-0.46,-0.7,-0.25,-0.32,
3422,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,LaGrange County,-0.38,-0.4,-0.62,,-0.45,
666,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,LaPorte County,-0.32,-0.23,-0.49,-0.24,-0.43,0.1
3423,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,LaPorte County,-0.35,0.48,-0.44,-0.11,-0.46,0.1
667,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Lake County,-0.38,-0.18,-0.52,-0.27,-0.25,0.13
3424,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Lake County,-0.38,,-0.44,-0.15,-0.25,0.12
668,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Lawrence County,-0.34,,-0.41,-0.23,,0.17
3425,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Lawrence County,-0.38,,-0.44,-0.24,,0.17
669,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Madison County,-0.35,,-0.44,-0.12,-0.27,0.1
3426,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Madison County,-0.38,,-0.44,,-0.28,
670,Indiana,2020-03-29 00:00:00+00:00,-0.36,0.24,-0.48,-0.25,-0.34,0.11,Marion County,-0.38,0.17,-0.52,-0.27,-0.49,0.11
3427,Indiana,2020-04-05 00:00:00+00:00,-0.37,0.54,-0.45,-0.17,-0.35,0.1,Marion County,-0.4,0.15,-0.5,-0.22,-0.5,0.11
